"Product ID";"Active (0/1)";"Nom du produit";"Catégories";"Price tax excluded or Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference";"Supplier reference #";"Supplier";"Manufacturer";"EAN13";"UPC";"Ecotax";"Width";"Height";"Depth";"Weight";"Quantity";"Minimal quantity";"Visibility";"Additional shipping cost";"Unity";"Unit price";"Résumé";"Description";"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature(Name:Value:Position)";"Available online only (0 = No, 1 = Yes)";"Condition";"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Out of stock";"ID / Name of shop";"Advanced stock management";"Depends On Stock";"Warehouse"
9;1;"Era Club";"Filets de protection";;;;0;;;;;"eraclub";;;;;;;;;;;;;;;;;"Filet de protection pour l'entrainement et la compétition";"Filet pour arc de puissance 25 livres et flèches diamètre 5,5mm - Matière tricoté 100% polyester 1100 Dtex, 450 gr/m² - Maille 4mm x 1mm résitante aux UV - Coloris vert - Accroche par sangle de renfort cousue sur la longueur - Accessoires fournies 2 serre-cable, 1 tendeur, 1 cable plastifié 5mm vert et des anneaux brisés - Hauteur 2,40m ou 3,00m - Longueurs standards 3,4,5,6,8,10,12,15,18,20,25 mètres - Sac individuel pour le transport";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/Filet_Eraclub.jpg,http://44.dev.dfx.fr/import/products/Sac_Eraclub.jpg";0;;0;"new";0;0;0;0;0;0;0;0
10;1;"Era Kid";"Filets de protection";;;;0;;;;;"erakid";;;;;;;;;;;;;;;;;"Filet de protection pour l'initiation";"Filet pour arc de puissance 20-22 livres et flèches diamètre 5,5mm - Matière tricoté 100% polyester 1100 Dtex, 380 gr/m² - Maille 4mm x 1mm résitante aux UV - Coloris blanc - Accroche par sangle de renfort cousue sur la longueur - Accessoires fournies 2 serre-cable, 1 tendeur, 1 cable plastifié 5mm vert et des anneaux brisés - Hauteur 2,70m ou 3,20m - Longueurs standards 3,4,5,6,8,10,12,15,18,20,25 mètres - Sac individuel pour le transport";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/Filet_Erakid.jpg,http://44.dev.dfx.fr/import/products/Sac_Erakid.jpg";0;;0;"new";0;0;0;0;0;0;0;0
11;1;"Era Kid M1";"Filets de protection";;;;0;;;;;"erakidM1";;;;;;;;;;;;;;;;;"Filet de protection pour l'initiation NON FEU";"Filet pour arc de puissance 20-22 livres et flèches diamètre 5,5mm - Matière tricoté 100% polyester 1100 Dtex, 400 gr/m², qualité non feu dans la masse du fil - Maille 4mm x 1mm résitante aux UV - Coloris blanc - Accroche par sangle de renfort cousue sur la longueur - Accessoires fournies 2 serre-cable, 1 tendeur, 1 cable plastifié 5mm vert et des anneaux brisés - Hauteur 2,70m ou 3,20m - Longueurs standards 3,4,5,6,8,10,12,15,18,20,25 mètres - Sac individuel pour le transport";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/Filet_Erakid.jpg,http://44.dev.dfx.fr/import/products/Sac_Erakid.jpg";0;;0;"new";0;0;0;0;0;0;0;0
12;1;"Era Power";"Filets de protection";;;;0;;;;;"erapower";;;;;;;;;;;;;;;;;"Filet de protection pour l'arc trap";"Filet pour arc de puissance 28 livres et flèches diamètre 5,5mm - Matière tricoté 100% polyester 1100 Dtex, 650 gr/m² - Maille 4mm x 1mm résitante aux UV - Coloris vert - Accroche par sangle de renfort cousue sur la longueur - Accessoires fournies 2 serre-cable, 1 tendeur, 1 cable plastifié 5mm vert et des anneaux brisés - Hauteur 2m, 3m et + - Largeur : 1,25m";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
13;1;"Era stop";"Autour de la cible";;;;0;;;;;"erastop";;;;;;;;;;;;;;;;;"Filet pour arrière de cibles sur chevalet";"Filet testé sur cible mousse densité 35kg avec arc à poulie de 65lbs (allonge 28''), flèches diamètre 5,5mm - 5 couches de maille polyester (2 couches extérieur en 450gr/m² et 3 couches intérieures en 650 gr/m²) - Coloris vert - Accroche grâce aux oeillets dans les angles + corde élastique - Dimensions disponibles 65x65cm, 75x75cm et 100x100cm ou autres sur demande - Sac individuel pour le transport";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/Erastop.jpg,http://44.dev.dfx.fr/import/products/Sac_Erastop.jpg";0;;0;"new";0;0;0;0;0;0;0;0
14;1;"Era Cover";"Autour de la cible";;;;0;;;;;"eracover";;;;;;;;;;;;;;;;;"Housse de protection de cibles";"Housse de protection pour cibles rondes et carrées - Matière bache PVC 650 gr/m² - Coloris disponibles : vert, gris, rouge et noir - Sandow + velcro pour ajustement et fixation - Dimensions : Cibles rondes 90cm, 110cm et 130cm et cibles carrées 95cm et 115cm ou autres sur demande";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/Eracover_C.jpg";0;;0;"new";0;0;0;0;0;0;0;0
15;1;"Era Garden";"Loisirs";;;;0;;;;;"eragarden";;;;;;;;;;;;;;;;;"Kit filet de protection pour usage loisir plein air";"Kit filets de protection prêt à l'emploi (filets + piquets) - Filet pour arc de puissance 20-22 livres et flèches diamètre 5,5mm - Matière tricoté 100% polyester 1100 Dtex, 380 gr/m² - Maille 4mm x 1mm résitante aux UV - Coloris blanc et vert - Dimensions : 2m de hautx2m de large ou 2m70 de haut x 2,50m de large - Piquets en acier emboitables - Fourreau pour insertion des piquets avant installation - Sac individuel pour le transport";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/Filet_Eragarden_loisir copie.jpg";0;;0;"new";0;0;0;0;0;0;0;0
16;1;"Era Fun";"Loisirs";;;;0;;;;;"erafun";;;;;;;;;;;;;;;;;"Cible loisir";"Cible loisir rembourrée - Housse extérieur 100% polyester 190gr/m² haute tenacité - Intérieur : Rembourrage en produits recyclés intégré dans un filet - 3 designs différents - Dimensions 55cmx55cm - Poignée, œillets pour accroche - Housse interchangeable";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/Hang tag copie.jpg";0;;0;"new";0;0;0;0;0;0;0;0
17;1;"Era Wind";"Filets brise-vent & brise vue";;;;0;;;;;"erawind";;;;;;;;;;;;;;;;;"Filet Brise vent";"Filet pour filtration du vent ou outil de communication - Matière polyéthylène tricoté maille bandelette 145gr/m² - Coloris vert - Accroche par sangle de renfort cousue sur la longueur - Anneaux brisés en plastique ";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
18;1;"Era Sun";"Filets brise-vent & brise vue";;;;0;;;;;"erasun";;;;;;;;;;;;;;;;;"Filet Brise vue";"Filet occultant ou outil de communication - Matière polyéthylène tricoté maille bandelette 250gr/m² - Coloris vert - Accroche par sangle de renfort cousue sur la longueur - Anneaux brisés en plastique ";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
19;1;"Armguard Tech";"Accessoires";;;;0;;;;;"armguardtech";;;;;;;;;;;;;;;;;"Manchon de protection pour l'avant bras";"Manchon de protection pour l'avant bras - Matière extérieur maille 2D 100% polyester thermocool - Intérieur maille 3D 100% polyester - 3 bandes sillicones à l'intérieur du manchon pour renforcer la protection et eviter la glissance - 5 tailles - 8 coloris - Large protection de l'avant-bras, léger et confortable, adapté pour droitier et gaucher, personnalisable";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/armguard tech int noir.jpg";0;;0;"new";0;0;0;0;0;0;0;0
20;1;"Armguard Soft";"Accessoires";;;;0;;;;;"armguardsoft";;;;;;;;;;;;;;;;;"Manchon de protection pour l'avant bras";"Manchon de protection pour l'avant bras - Matière extérieur maille 2D 82% polyester/18%elasthannel - Renfort maille 3D 100% polyester - 5 tailles - 8 coloris - Protection de l'avant-bras renforcée, ultra éger et confortable, adapté pour droitier et gaucher, personnalisable";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/armguard soft int noir.jpg";0;;0;"new";0;0;0;0;0;0;0;0
21;1;"Armguard Xlong";"Accessoires";;;;0;;;;;"armguardxlong";;;;;;;;;;;;;;;;;"Manchon de protection pour le bras";"Manchon de protection pour le bras - Matière extérieur maille 2D 100% polyester thermocool - Intérieur maille 3D 100% polyester - 3 bandes sillicones à l'intérieur du manchon pour renforcer la protection et eviter la glissance - 5 différentes tailles - 3 coloris différents - Large protection de l'avant-bras, léger et confortable, adapté pour droitier et gaucher, personnalisable";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/armG xlong int noir.jpg";0;;0;"new";0;0;0;0;0;0;0;0
22;1;"Armguard Lite";"Accessoires";;;;0;;;;;"armguardlite";;;;;;;;;;;;;;;;;"Bracelet de protection pour le bras";"Bracelet de protection pour l'avant bras - Matière Intérieur maille 3D 100% polyester - sangle velcro en polyester - Taille unique - coloris noir - Protection avant bras renforcée, léger et confortable, ajustable grâce aux sangles velcro, adapté pour droitier et gaucher";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/armguard lite int noir.jpg";0;;0;"new";0;0;0;0;0;0;0;0
23;1;"Chestguard homme";"Accessoires";;;;0;;;;;"chestguard homme";;;;;;;;;;;;;;;;;"Plastron pour les hommes";"Plastron de protection pour les hommes - Matière 78% polyamide recyclé/22% élasthanne (lycra xtra life), maille 3D 100% polyester, velcro - 4 tailles - 2 coloris - Léger et confortable, s'adapte à toutes les morphologies, ajustable grâce au système velcro, Produit ambidextre";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/chestguard homme.jpg";0;;0;"new";0;0;0;0;0;0;0;0
24;1;"Chestguard femme";"Accessoires";;;;0;;;;;"chestguard homme";;;;;;;;;;;;;;;;;"Plastron pour les femmes";"Plastron de protection pour les femmes - Matière 78% polyamide recyclé/22% élasthanne (lycra xtra life), maille 3D 100% polyester, velcro - 4 tailles - 2 coloris - Léger et confortable, s'adapte à toutes les morphologies, ajustable grâce au système velcro, Produit ambidextre";;;;;;"En stock";;1;;"2017-09-05";1;"http://44.dev.dfx.fr/import/products/chestguard femme.jpg";0;;0;"new";0;0;0;0;0;0;0;0
25;1;"Polo club homme";"Vetements";;;;0;;;;;"poloclubhomme";;;;;;;;;;;;;;;;;"Polo pour homme";"Polo technique pour homme - Matière 100% polyester 170 gr/m² - 6 tailles de S à XXXL - Coupe ajustée - Elastique silliconé en bas de vetement pour un meilleur maintien - Aucune couture sour les bras pour une meilleure aisance - 4 coloris - Marquage devant et dos de base - Autres marquages en option";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
26;1;"Tshirt club homme";"Vetements";;;;0;;;;;"tshirtclubhomme";;;;;;;;;;;;;;;;;"Tshirt pour homme";"Tshirt technique pour homme - Matière 100% polyester 170 gr/m² - 6 tailles de S à XXXL - Coupe ajustée - Elastique silliconé en bas de vetement pour un meilleur maintien - Aucune couture sour les bras pour une meilleure aisance - 4 coloris - Marquage devant et dos de base - Autres marquages en option";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
27;1;"Bermuda homme";"Vetements";;;;0;;;;;"bermudahomme";;;;;;;;;;;;;;;;;"Bermuda pour homme";"Bermuda technique pour homme - Matière 95% polyamide et 5% elasthanne  stretch 140 gr/m² - 6 tailles de S à XXXL - Coupe ajustée avec matière stretch - Poches arrières avec rabats, fourreau pour stylo, boucle d'accroche à la ceinture - 2 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
28;1;"Veste homme";"Vetements";;;;0;;;;;"vestehomme";;;;;;;;;;;;;;;;;"Veste pour homme";"Veste technique pour homme - Matière 85% polyamide et 15% elasthanne stretch 180 gr/m² - Coupe ajustée - 6 tailles - Elastique sillicone en bas de vetement - Poches zipées devant, poches arrière pour accessoires, zip avec curseur autobloquant - 2 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
29;1;"Pantalon homme";"Vetements";;;;0;;;;;"pantalonhomme";;;;;;;;;;;;;;;;;"Pantalon pour homme";"Pantalon technique pour homme - Matière 95% polyamide et 5% elasthanne  stretch 140 gr/m² - 6 tailles de S à XXXL - Coupe ajustée avec matière stretch - Poches arrières avec rabats, fourreau pour stylo, boucle d'accroche à la ceinture - 2 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
30;1;"Coupe vent homme";"Vetements";;;;0;;;;;"coupevent homme";;;;;;;;;;;;;;;;;"Coupe vent pour homme";"Coupe vent technique pour homme - Matière 100% polyamide 50gr/m² ultra léger et déperlant - 6 tailles de S à XXXL - Zip étanche, elastique silliconé en bas de vetement pour un meilleur maintien - compactable - 1 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
31;1;"Polo club femme";"Vetements";;;;0;;;;;"poloclubfemme";;;;;;;;;;;;;;;;;"Polo pour femme";"Polo technique pour femme - Matière 100% polyester 170 gr/m² - 6 tailles de XS à XXL - Coupe ajustée - Elastique silliconé en bas de vetement pour un meilleur maintien - Aucune couture sour les bras pour une meilleure aisance - 4 coloris - Marquage devant et dos de base - Autres marquages en option";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
32;1;"Débardeur club femme";"Vetements";;;;0;;;;;"débardeurclubfemme";;;;;;;;;;;;;;;;;"Débardeur pour femme";"Débardeur technique pour femme - Matière 100% polyester 170 gr/m² - 6 tailles de XS à XXL - Coupe ajustée - Elastique silliconé en bas de vetement pour un meilleur maintien - 4 coloris - Marquage devant et dos de base - Autres marquages en option";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
33;1;"Jupe femme";"Vetements";;;;0;;;;;"jupefemme";;;;;;;;;;;;;;;;;"Jupe pour femme";"Jupe technique pour femme - Matière 95% polyamide et 5% elasthanne  stretch 140 gr/m² - 6 tailles de XS à XXL - Coupe classique - Poches arrières avec, fourreau pour stylo, boucle d'accroche à la ceinture - 2 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
34;1;"Veste femme";"Vetements";;;;0;;;;;"vestefemme";;;;;;;;;;;;;;;;;"Veste pour femme";"Veste technique pour femme - Matière 85% polyamide et 15% elasthanne stretch 180 gr/m² - Coupe ajustée - 6 tailles - Elastique sillicone en bas de vetement - Poches zipées devant, poche arrière pour accessoires, zip avec curseur autobloquant - 2 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
35;1;"Pantalon femme";"Vetements";;;;0;;;;;"pantalonfemme";;;;;;;;;;;;;;;;;"Pantalon pour femme";"Pantalon technique pour femme - Matière 95% polyamide et 5% elasthanne  stretch 140 gr/m² - 6 tailles de XS à XXL - Coupe ajustée avec matière stretch - Poches arrières, fourreau pour stylo, boucle d'accroche à la ceinture - 2 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
36;1;"Coupe vent femme";"Vetements";;;;0;;;;;"coupeventfemme";;;;;;;;;;;;;;;;;"Coupe vent pour femme";"Coupe vent technique pour femme - Matière 100% polyamide 50gr/m² ultra léger et déperlant - 6 tailles de XS à XXL - Zip étanche, elastique silliconé en bas de vetement pour un meilleur maintien - compactable - 1 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
37;1;"Tshirt club junior";"Vetements";;;;0;;;;;"tshirtclubjunior";;;;;;;;;;;;;;;;;"Tshirt pour junior";"Tshirt technique pour junior - Matière 100% polyester 170 gr/m² - 2 tailles - Coupe ajustée - Elastique silliconé en bas de vetement pour un meilleur maintien - Aucune couture sour les bras pour une meilleure aisance - 4 coloris - Marquage devant et dos de base - Autres marquages en option";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
38;1;"Bermuda junior";"Vetements";;;;0;;;;;"bermudajunior";;;;;;;;;;;;;;;;;"Bermuda pour junior";"Bermuda technique pour junior - Matière 95% polyamide et 5% elasthanne  stretch 140 gr/m² - 2 tailles- Coupe ajustée avec matière stretch - Poches arrières avec rabats, fourreau pour stylo, boucle d'accroche à la ceinture - 2 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
39;1;"Veste junior";"Vetements";;;;0;;;;;"vestejunior";;;;;;;;;;;;;;;;;"Veste pour junior";"Veste technique pour junior - Matière 85% polyamide et 15% elasthanne stretch 180 gr/m² - Coupe ajustée - 2 tailles - Elastique sillicone en bas de vetement - Poches zipées devant, poches arrière pour accessoires, zip avec curseur autobloquant - 2 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
40;1;"Pantalon junior";"Vetements";;;;0;;;;;"pantalonjunior";;;;;;;;;;;;;;;;;"Pantalon pour junior";"Pantalon pour junior - Matière 85% polyamide et 15% elasthanne stretch 180 gr/m² - Coupe ajustée - 2 tailles - Poches zipées devant, poches arrière pour accessoires, zip avec curseur autobloquant - 2 coloris";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
41;1;"Polo style homme";"Vetements";;;;0;;;;;"polostylehomme";;;;;;;;;;;;;;;;;"Polo pour homme";"Polo technique sublimé pour homme - Matière 100% polyester 170 gr/m² - 6 tailles de S à XXXL - Coupe ajustée - Elastique silliconé en bas de vetement pour un meilleur maintien - Aucune couture sour les bras pour une meilleure aisance - Personnalisable : 4 designs différents et 50 couleurs";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
42;1;"Tshirt style homme";"Vetements";;;;0;;;;;"tshirtstylehomme";;;;;;;;;;;;;;;;;"Tshirt pour homme";"Tshirt technique sublimé pour homme - Matière 100% polyester 170 gr/m² - 6 tailles de S à XXXL - Coupe ajustée - Elastique silliconé en bas de vetement pour un meilleur maintien - Aucune couture sour les bras pour une meilleure aisance - Personnalisable : 4 designs différents et 50 couleurs ";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
43;1;"Polo style femme";"Vetements";;;;0;;;;;"polostylefemme";;;;;;;;;;;;;;;;;"Polo pour femme";"Polo technique sublimé pour femme - Matière 100% polyester 170 gr/m² - 6 tailles de XS à XXL - Coupe ajustée - Elastique silliconé en bas de vetement pour un meilleur maintien - Aucune couture sour les bras pour une meilleure aisance - Personnalisable : 4 designs différents et 50 couleurs";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
44;1;"Débardeur style femme";"Vetements";;;;0;;;;;"débardeurstylefemme";;;;;;;;;;;;;;;;;"Débardeur pour femme";"Tshirt technique sublimé pour femme - Matière 100% polyester 170 gr/m² - 6 tailles de XS à XXL - Coupe ajustée - Elastique silliconé en bas de vetement pour un meilleur maintien - Aucune couture sour les bras pour une meilleure aisance - Personnalisable : 4 designs différents et 50 couleurs ";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
45;1;"Tshirt style junior";"Vetements";;;;0;;;;;"tshirtstylejunior";;;;;;;;;;;;;;;;;"Tshirt pour junior";"Tshirt technique sublimé pour junior - Matière 100% polyester 170 gr/m² - 2 tailles - Coupe ajustée - Elastique silliconé en bas de vetement pour un meilleur maintien - Aucune couture sour les bras pour une meilleure aisance - Personnalisable : 4 designs différents et 50 couleurs";;;;;;"En stock";;1;;"2017-09-05";1;;0;;0;"new";0;0;0;0;0;0;0;0
